review_id,competitor_id,rating,review_text,theme
1,1,4,Generous bowl and reasonable price.,good value
2,1,5,Generous bowl and reasonable price.,good value
3,1,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
4,1,4,"Best mango pomelo sago in the area, came back twice.",great taste
5,1,5,Generous bowl and reasonable price.,good value
6,1,2,No parking nearby and seating is very cramped.,parking / seating
7,2,5,"Best mango pomelo sago in the area, came back twice.",great taste
8,2,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
9,3,4,Generous bowl and reasonable price.,good value
10,3,4,"Best mango pomelo sago in the area, came back twice.",great taste
11,3,5,"Best mango pomelo sago in the area, came back twice.",great taste
12,3,3,Waited almost 20 minutes during the supper crowd.,slow service
13,4,5,"Best mango pomelo sago in the area, came back twice.",great taste
14,4,3,Waited almost 20 minutes during the supper crowd.,slow service
15,4,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
16,5,4,"Best mango pomelo sago in the area, came back twice.",great taste
17,5,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
18,5,4,"Best mango pomelo sago in the area, came back twice.",great taste
19,5,2,No parking nearby and seating is very cramped.,parking / seating
20,5,2,Waited almost 20 minutes during the supper crowd.,slow service
21,6,5,Generous bowl and reasonable price.,good value
22,6,2,No parking nearby and seating is very cramped.,parking / seating
23,6,2,Waited almost 20 minutes during the supper crowd.,slow service
24,6,5,Generous bowl and reasonable price.,good value
25,6,4,Generous bowl and reasonable price.,good value
26,6,2,Portion felt small for the price.,portion size
27,7,3,Waited almost 20 minutes during the supper crowd.,slow service
28,7,2,No parking nearby and seating is very cramped.,parking / seating
29,7,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
30,7,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
31,7,2,No parking nearby and seating is very cramped.,parking / seating
32,7,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
33,8,2,Portion felt small for the price.,portion size
34,8,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
35,8,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
36,8,3,No parking nearby and seating is very cramped.,parking / seating
37,9,5,"Ingredients taste fresh, not from a can.",fresh ingredients
38,9,5,"Ingredients taste fresh, not from a can.",fresh ingredients
39,9,4,Generous bowl and reasonable price.,good value
40,9,3,Waited almost 20 minutes during the supper crowd.,slow service
41,9,5,Generous bowl and reasonable price.,good value
42,10,2,Waited almost 20 minutes during the supper crowd.,slow service
43,10,2,No parking nearby and seating is very cramped.,parking / seating
44,10,4,"Ingredients taste fresh, not from a can.",fresh ingredients
45,10,5,Generous bowl and reasonable price.,good value
46,10,4,"Ingredients taste fresh, not from a can.",fresh ingredients
47,10,2,No parking nearby and seating is very cramped.,parking / seating
48,11,4,Generous bowl and reasonable price.,good value
49,11,3,No parking nearby and seating is very cramped.,parking / seating
50,11,4,"Best mango pomelo sago in the area, came back twice.",great taste
51,11,3,Waited almost 20 minutes during the supper crowd.,slow service
52,12,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
53,12,5,"Best mango pomelo sago in the area, came back twice.",great taste
54,12,5,"Best mango pomelo sago in the area, came back twice.",great taste
55,12,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
56,12,2,No parking nearby and seating is very cramped.,parking / seating
57,12,2,Waited almost 20 minutes during the supper crowd.,slow service
58,13,3,Waited almost 20 minutes during the supper crowd.,slow service
59,13,2,Waited almost 20 minutes during the supper crowd.,slow service
60,13,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
61,13,4,Generous bowl and reasonable price.,good value
62,14,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
63,14,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
64,14,2,Portion felt small for the price.,portion size
65,14,2,No parking nearby and seating is very cramped.,parking / seating
66,14,2,Waited almost 20 minutes during the supper crowd.,slow service
67,15,5,Generous bowl and reasonable price.,good value
68,15,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
69,15,5,"Best mango pomelo sago in the area, came back twice.",great taste
70,15,5,"Best mango pomelo sago in the area, came back twice.",great taste
71,16,3,No parking nearby and seating is very cramped.,parking / seating
72,16,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
73,16,5,"Best mango pomelo sago in the area, came back twice.",great taste
74,16,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
75,16,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
76,16,4,"Ingredients taste fresh, not from a can.",fresh ingredients
77,17,3,Waited almost 20 minutes during the supper crowd.,slow service
78,17,4,"Best mango pomelo sago in the area, came back twice.",great taste
79,17,3,No parking nearby and seating is very cramped.,parking / seating
80,17,3,Waited almost 20 minutes during the supper crowd.,slow service
81,18,5,"Best mango pomelo sago in the area, came back twice.",great taste
82,18,5,"Ingredients taste fresh, not from a can.",fresh ingredients
83,19,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
84,19,4,"Best mango pomelo sago in the area, came back twice.",great taste
85,20,5,"Ingredients taste fresh, not from a can.",fresh ingredients
86,20,5,"Best mango pomelo sago in the area, came back twice.",great taste
87,20,4,Generous bowl and reasonable price.,good value
88,20,4,Generous bowl and reasonable price.,good value
89,21,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
90,21,3,No parking nearby and seating is very cramped.,parking / seating
91,22,4,"Best mango pomelo sago in the area, came back twice.",great taste
92,22,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
93,23,2,Portion felt small for the price.,portion size
94,23,4,Generous bowl and reasonable price.,good value
95,24,2,Waited almost 20 minutes during the supper crowd.,slow service
96,24,4,"Best mango pomelo sago in the area, came back twice.",great taste
97,24,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
98,24,3,Waited almost 20 minutes during the supper crowd.,slow service
99,25,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
100,25,2,No parking nearby and seating is very cramped.,parking / seating
101,25,5,Generous bowl and reasonable price.,good value
102,25,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
103,26,5,Generous bowl and reasonable price.,good value
104,26,4,"Ingredients taste fresh, not from a can.",fresh ingredients
105,26,4,"Ingredients taste fresh, not from a can.",fresh ingredients
106,27,2,No parking nearby and seating is very cramped.,parking / seating
107,27,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
108,27,5,Generous bowl and reasonable price.,good value
109,27,3,Waited almost 20 minutes during the supper crowd.,slow service
110,28,5,"Best mango pomelo sago in the area, came back twice.",great taste
111,28,3,No parking nearby and seating is very cramped.,parking / seating
112,28,5,Generous bowl and reasonable price.,good value
113,28,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
114,29,4,Generous bowl and reasonable price.,good value
115,29,4,"Best mango pomelo sago in the area, came back twice.",great taste
116,29,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
117,29,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
118,30,5,"Best mango pomelo sago in the area, came back twice.",great taste
119,30,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
120,30,4,Generous bowl and reasonable price.,good value
121,30,3,Waited almost 20 minutes during the supper crowd.,slow service
122,30,2,No parking nearby and seating is very cramped.,parking / seating
123,30,5,"Best mango pomelo sago in the area, came back twice.",great taste
124,31,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
125,31,2,Portion felt small for the price.,portion size
126,32,3,Waited almost 20 minutes during the supper crowd.,slow service
127,32,2,No parking nearby and seating is very cramped.,parking / seating
128,32,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
129,32,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
130,32,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
131,32,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
132,33,5,"Best mango pomelo sago in the area, came back twice.",great taste
133,33,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
134,33,3,Portion felt small for the price.,portion size
135,34,5,"Ingredients taste fresh, not from a can.",fresh ingredients
136,34,5,Generous bowl and reasonable price.,good value
137,35,4,Generous bowl and reasonable price.,good value
138,35,4,Generous bowl and reasonable price.,good value
139,35,4,"Ingredients taste fresh, not from a can.",fresh ingredients
140,35,5,"Best mango pomelo sago in the area, came back twice.",great taste
141,36,4,Generous bowl and reasonable price.,good value
142,36,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
143,36,2,No parking nearby and seating is very cramped.,parking / seating
144,36,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
145,36,3,Waited almost 20 minutes during the supper crowd.,slow service
146,37,4,"Ingredients taste fresh, not from a can.",fresh ingredients
147,37,4,"Best mango pomelo sago in the area, came back twice.",great taste
148,37,5,Generous bowl and reasonable price.,good value
149,38,2,Portion felt small for the price.,portion size
150,38,3,Portion felt small for the price.,portion size
151,38,5,"Best mango pomelo sago in the area, came back twice.",great taste
152,39,4,Generous bowl and reasonable price.,good value
153,39,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
154,39,3,Waited almost 20 minutes during the supper crowd.,slow service
155,40,2,No parking nearby and seating is very cramped.,parking / seating
156,40,3,Waited almost 20 minutes during the supper crowd.,slow service
157,40,5,"Ingredients taste fresh, not from a can.",fresh ingredients
158,40,5,"Best mango pomelo sago in the area, came back twice.",great taste
159,40,4,"Best mango pomelo sago in the area, came back twice.",great taste
160,40,5,Generous bowl and reasonable price.,good value
161,41,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
162,41,3,Waited almost 20 minutes during the supper crowd.,slow service
163,41,5,"Best mango pomelo sago in the area, came back twice.",great taste
164,41,5,"Ingredients taste fresh, not from a can.",fresh ingredients
165,41,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
166,42,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
167,42,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
168,42,5,"Ingredients taste fresh, not from a can.",fresh ingredients
169,42,2,No parking nearby and seating is very cramped.,parking / seating
170,43,4,Generous bowl and reasonable price.,good value
171,43,5,Generous bowl and reasonable price.,good value
172,43,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
173,43,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
174,44,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
175,44,3,Waited almost 20 minutes during the supper crowd.,slow service
176,44,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
177,45,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
178,45,5,"Best mango pomelo sago in the area, came back twice.",great taste
179,45,3,Waited almost 20 minutes during the supper crowd.,slow service
180,45,5,"Best mango pomelo sago in the area, came back twice.",great taste
181,45,4,"Best mango pomelo sago in the area, came back twice.",great taste
182,46,5,"Best mango pomelo sago in the area, came back twice.",great taste
183,46,4,"Best mango pomelo sago in the area, came back twice.",great taste
184,46,2,Waited almost 20 minutes during the supper crowd.,slow service
185,47,3,Waited almost 20 minutes during the supper crowd.,slow service
186,47,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
187,48,5,"Best mango pomelo sago in the area, came back twice.",great taste
188,48,5,Generous bowl and reasonable price.,good value
189,48,5,Generous bowl and reasonable price.,good value
190,48,4,"Best mango pomelo sago in the area, came back twice.",great taste
191,49,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
192,49,4,"Ingredients taste fresh, not from a can.",fresh ingredients
193,49,4,"Best mango pomelo sago in the area, came back twice.",great taste
194,49,4,Generous bowl and reasonable price.,good value
195,50,5,Generous bowl and reasonable price.,good value
196,50,2,Waited almost 20 minutes during the supper crowd.,slow service
197,50,4,Generous bowl and reasonable price.,good value
198,50,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
199,50,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
200,50,4,Generous bowl and reasonable price.,good value
201,51,3,Waited almost 20 minutes during the supper crowd.,slow service
202,51,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
203,51,3,Waited almost 20 minutes during the supper crowd.,slow service
204,52,4,"Best mango pomelo sago in the area, came back twice.",great taste
205,52,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
206,52,5,Generous bowl and reasonable price.,good value
207,52,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
208,53,3,Waited almost 20 minutes during the supper crowd.,slow service
209,53,5,"Best mango pomelo sago in the area, came back twice.",great taste
210,53,5,"Ingredients taste fresh, not from a can.",fresh ingredients
211,53,2,Portion felt small for the price.,portion size
212,54,5,Generous bowl and reasonable price.,good value
213,54,3,No parking nearby and seating is very cramped.,parking / seating
214,54,4,Generous bowl and reasonable price.,good value
215,54,2,No parking nearby and seating is very cramped.,parking / seating
216,55,2,Portion felt small for the price.,portion size
217,55,5,"Best mango pomelo sago in the area, came back twice.",great taste
218,55,2,Waited almost 20 minutes during the supper crowd.,slow service
219,56,4,"Ingredients taste fresh, not from a can.",fresh ingredients
220,56,3,Portion felt small for the price.,portion size
221,57,5,"Ingredients taste fresh, not from a can.",fresh ingredients
222,57,2,Waited almost 20 minutes during the supper crowd.,slow service
223,57,4,"Best mango pomelo sago in the area, came back twice.",great taste
224,57,4,"Best mango pomelo sago in the area, came back twice.",great taste
225,57,5,"Best mango pomelo sago in the area, came back twice.",great taste
226,58,3,No parking nearby and seating is very cramped.,parking / seating
227,58,4,"Best mango pomelo sago in the area, came back twice.",great taste
228,58,5,"Best mango pomelo sago in the area, came back twice.",great taste
229,58,5,Generous bowl and reasonable price.,good value
230,58,5,"Best mango pomelo sago in the area, came back twice.",great taste
231,59,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
232,59,4,Generous bowl and reasonable price.,good value
233,59,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
234,59,4,"Ingredients taste fresh, not from a can.",fresh ingredients
235,60,5,"Ingredients taste fresh, not from a can.",fresh ingredients
236,60,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
237,60,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
238,60,5,"Best mango pomelo sago in the area, came back twice.",great taste
239,60,3,No parking nearby and seating is very cramped.,parking / seating
240,60,2,No parking nearby and seating is very cramped.,parking / seating
241,61,4,Generous bowl and reasonable price.,good value
242,61,4,Generous bowl and reasonable price.,good value
243,61,3,Waited almost 20 minutes during the supper crowd.,slow service
244,61,5,Generous bowl and reasonable price.,good value
245,62,4,"Best mango pomelo sago in the area, came back twice.",great taste
246,62,3,Waited almost 20 minutes during the supper crowd.,slow service
247,62,3,Waited almost 20 minutes during the supper crowd.,slow service
248,62,4,"Ingredients taste fresh, not from a can.",fresh ingredients
249,63,4,Generous bowl and reasonable price.,good value
250,63,3,Waited almost 20 minutes during the supper crowd.,slow service
251,63,2,Waited almost 20 minutes during the supper crowd.,slow service
252,64,4,"Best mango pomelo sago in the area, came back twice.",great taste
253,64,3,No parking nearby and seating is very cramped.,parking / seating
254,64,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
255,64,2,Waited almost 20 minutes during the supper crowd.,slow service
256,64,3,Waited almost 20 minutes during the supper crowd.,slow service
257,64,5,Generous bowl and reasonable price.,good value
258,65,2,No parking nearby and seating is very cramped.,parking / seating
259,65,5,"Best mango pomelo sago in the area, came back twice.",great taste
260,66,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
261,66,5,Generous bowl and reasonable price.,good value
262,67,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
263,67,3,Portion felt small for the price.,portion size
264,67,5,"Ingredients taste fresh, not from a can.",fresh ingredients
265,67,2,Portion felt small for the price.,portion size
266,67,4,"Best mango pomelo sago in the area, came back twice.",great taste
267,68,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
268,68,5,"Ingredients taste fresh, not from a can.",fresh ingredients
269,68,3,Waited almost 20 minutes during the supper crowd.,slow service
270,68,2,No parking nearby and seating is very cramped.,parking / seating
271,68,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
272,68,4,Generous bowl and reasonable price.,good value
273,69,4,Generous bowl and reasonable price.,good value
274,69,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
275,70,4,Generous bowl and reasonable price.,good value
276,70,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
277,70,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
278,70,2,Portion felt small for the price.,portion size
279,70,5,Generous bowl and reasonable price.,good value
280,71,5,Generous bowl and reasonable price.,good value
281,71,2,No parking nearby and seating is very cramped.,parking / seating
282,71,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
283,71,5,Generous bowl and reasonable price.,good value
284,71,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
285,71,5,"Best mango pomelo sago in the area, came back twice.",great taste
286,72,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
287,72,2,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
288,72,5,"Ingredients taste fresh, not from a can.",fresh ingredients
289,72,4,Generous bowl and reasonable price.,good value
290,72,3,"Too sweet for me, and it tasted different from last time.",too sweet / inconsistent
291,73,4,"Ingredients taste fresh, not from a can.",fresh ingredients
292,73,2,No parking nearby and seating is very cramped.,parking / seating
